"","YEAR","METRO","HHINCOME","SFRELATE","SPLOC","SPRULE","NCHILD","NCHLT5","RELATE","RELATED","SEX","AGE","MARST","EDUC","EDUCD","EMPSTAT","EMPSTATD","WKSWORK2","UHRSWORK","INCTOT","INCWAGE","INCSS","INCWELFR","PRICEINDEX"
"1802",2015,2,106284.212885313,0,1,11,1,0,2,201,2,47,1,7,71,1,10,72,40,24082.5255782432,24082.5255782432,0,0,1.24571652182123
"1803",2006,3,150187.759968142,0,0,0,2,0,1,101,2,46,4,7,71,1,10,72,40,46630.0936511697,46630.0936511697,0,0,1.0293781599299
"1804",2017,4,31341.7954124951,0,0,0,1,0,1,101,2,39,6,8,81,1,10,72,40,31341.7954124951,31341.7954124951,0,0,1.30815734900926
"1805",2011,4,89617.6034479977,0,1,11,1,1,2,201,2,33,1,10,101,1,10,72,38,47480.6853067593,47305.4798259225,0,0,1.14151680098611
"1806",2014,0,83404.8527713981,0,2,11,2,0,1,101,2,43,1,10,101,1,10,72,40,34150.0184575803,0,0,0,1.21815453926251
"1807",2014,1,31194.7283987513,0,1,11,0,0,2,201,2,31,1,6,65,1,10,72,40,13955.536388915,13955.536388915,0,0,1.21815453926251
"1808",2015,0,31066.4579959337,0,2,11,0,0,1,101,2,50,1,6,63,1,10,72,40,20470.1467415067,20470.1467415067,0,0,1.24571652182123
"1809",2016,4,58735.9375464252,0,1,11,2,0,2,201,2,43,1,4,40,2,20,7,40,3915.72916976168,3915.72916976168,0,0,1.27690138496078
"1810",2005,2,120000,0,1,11,1,1,2,201,2,32,1,7,71,1,10,72,55,60000,60000,0,0,1
"1811",2006,2,14571.9042659905,0,0,0,2,1,1,101,2,30,4,6,65,3,30,20,40,14571.9042659905,9714.60284399369,0,0,1.0293781599299
"1812",2015,4,137864.431426916,0,2,11,2,0,1,101,2,52,1,8,81,1,10,72,30,28096.2798412837,28096.2798412837,0,0,1.24571652182123
"1813",2016,0,65784.2500519962,0,0,0,0,0,1,101,2,26,6,11,114,1,12,72,48,65784.2500519962,65784.2500519962,0,0,1.27690138496078
"1814",2010,4,29582.5448287299,0,1,11,0,0,2,201,2,54,1,8,81,1,10,46,20,8375.78076476088,8375.78076476088,0,0,1.12228343410662
"1815",2008,2,72069.4233179179,0,0,0,1,0,1,101,2,53,4,10,101,1,10,72,40,65850.2345036813,65850.2345036813,0,0,1.09339018368985
"1816",2008,3,22407.3714630582,0,2,11,1,1,1,101,2,28,1,7,71,1,10,72,35,10060.452493618,10060.452493618,0,0,1.09339018368985
"1817",2017,3,61154.7227560879,0,0,0,5,0,1,101,2,36,3,6,65,1,10,72,40,61154.7227560879,61154.7227560879,0,0,1.30815734900926
"1818",2016,3,41506.7291994738,0,0,0,0,0,1,101,2,52,6,7,71,1,10,72,40,41506.7291994738,41506.7291994738,0,0,1.27690138496078
"1819",2018,4,45823.4407396643,0,1,11,3,1,2,201,2,48,1,7,71,1,10,59,20,4843.12788305395,0,0,0,1.34210786024119
"1820",2010,4,30651.7934369972,0,1,11,2,0,2,201,2,44,1,4,40,1,10,7,40,1782.08101377891,1782.08101377891,0,0,1.12228343410662
"1821",2005,4,56100,0,2,11,0,0,1,101,2,29,1,10,101,1,14,72,40,52200,52000,0,0,1
"1822",2016,3,67350.5417199009,0,1,11,2,1,2,201,2,40,1,10,101,1,10,72,35,28193.2500222841,28193.2500222841,0,0,1.27690138496078
"1823",2018,4,109305.670837541,0,2,11,4,0,1,101,2,41,1,8,81,1,10,72,40,24811.7166931841,24811.7166931841,0,0,1.34210786024119
"1824",2006,4,53236.0235850854,0,1,11,0,0,2,201,2,48,1,3,30,1,10,46,44,13114.7138393915,13114.7138393915,0,0,1.0293781599299
"1825",2013,0,92308.3820060863,0,1,11,3,2,2,201,2,42,1,10,101,1,10,72,40,46154.1910030431,46154.1910030431,0,0,1.19165776291851
"1826",2007,2,22329.642213415,0,1,21,2,0,11,1114,2,28,6,1,10,1,10,72,35,14697.9923430074,0,0,0,1.06136944665247
"1827",2006,4,50515.9347887672,0,2,21,0,0,1,101,2,49,6,7,71,1,10,72,40,16514.8248347893,16514.8248347893,0,0,1.0293781599299
"1828",2019,3,54331.4040007446,0,2,21,0,0,1,101,2,26,6,11,114,1,10,72,25,21732.5616002978,21732.5616002978,0,0,1.38041711565142
"1829",2019,2,118080.251361618,0,2,11,2,1,1,101,2,40,1,11,114,1,10,72,40,60126.753760824,60126.753760824,0,0,1.38041711565142
"1830",2017,3,14830.0202683513,0,2,11,3,0,1,101,2,32,1,6,63,3,30,7,40,8408.77437896209,2293.3021033533,0,0,1.30815734900926
"1831",2010,3,66115.2056111976,0,2,11,0,0,1,101,2,33,1,11,114,1,10,72,45,34928.7878700666,23434.3653311927,0,0,1.12228343410662
"1832",2012,3,53538.8722108192,0,1,21,1,1,11,1114,2,25,6,7,71,1,10,72,40,16704.1281297756,16704.1281297756,0,0,1.16737610299101
"1833",2015,4,27614.6293297189,0,0,0,0,0,4,401,2,33,2,6,63,1,10,72,32,5779.80613877837,5779.80613877837,0,0,1.24571652182123
"1834",2019,1,60199.195632825,0,1,11,3,1,2,201,2,34,1,11,114,1,10,72,25,21732.5616002978,18038.0261282472,0,0,1.38041711565142
"1835",2017,3,142949.164442356,0,2,11,3,0,1,101,2,45,1,6,61,1,10,72,40,19875.2848957286,0,0,0,1.30815734900926
"1836",2008,1,86885.7260812462,0,1,11,1,0,2,201,2,47,1,11,114,1,12,72,45,42985.5697454586,42985.5697454586,0,0,1.09339018368985
"1837",2018,4,91348.8428403714,0,1,11,2,0,2,201,2,37,1,8,81,1,10,72,50,23843.0911165733,23843.0911165733,0,0,1.34210786024119
"1838",2018,4,74509.6597392916,0,4,21,2,1,1,101,2,34,6,11,116,1,10,72,40,52156.7618175041,52156.7618175041,0,0,1.34210786024119
"1839",2012,3,52253.9392777595,0,1,11,2,0,2,201,2,31,1,6,65,1,10,72,32,13705.9512859697,13705.9512859697,0,0,1.16737610299101
"1840",2013,4,125875.066371936,0,1,11,2,1,2,201,2,39,1,11,114,3,30,59,40,62937.5331859679,62937.5331859679,0,0,1.19165776291851
"1841",2008,2,66764.8210940102,0,0,0,0,0,1,101,2,42,6,10,101,1,10,72,40,66764.8210940102,66764.8210940102,0,0,1.09339018368985
"1842",2017,2,31724.0124297206,0,6,21,4,0,1,101,2,32,4,7,71,1,10,72,40,16435.3317406986,15288.680689022,0,0,1.30815734900926
"1843",2008,4,70789.0020914574,0,2,11,0,0,1,101,2,55,1,6,64,1,10,72,40,44265.9909719191,43900.1563357875,0,0,1.09339018368985
"1844",2011,3,44589.7948729529,0,2,11,1,1,1,101,2,30,1,10,101,1,10,72,40,29697.3290018291,29697.3290018291,0,0,1.14151680098611
"1845",2015,2,76261.3309977701,0,1,11,0,0,2,201,2,28,1,11,114,1,10,72,40,42545.7951882296,42545.7951882296,0,0,1.24571652182123
"1846",2016,4,13391.7937605849,0,1,11,1,0,2,201,2,46,1,1,17,3,30,46,25,8692.91875687093,8692.91875687093,0,0,1.27690138496078
"1847",2011,1,98115.0692685801,0,1,11,2,0,2,201,2,39,1,11,114,1,10,72,40,39421.2331882688,39421.2331882688,0,0,1.14151680098611
"1848",2005,3,52500,0,1,11,1,0,2,201,2,41,1,10,101,1,12,33,12,2500,2500,0,0,1
"1849",2015,4,187040.948657689,0,2,11,2,0,1,101,2,39,1,10,101,1,10,72,45,94724.6006077566,94724.6006077566,0,0,1.24571652182123
"1850",2005,2,44000,0,0,0,0,0,1,101,2,45,4,7,71,1,10,72,40,44000,44000,0,0,1
"1851",2010,4,32522.9785014651,0,0,0,2,0,1,101,2,46,4,6,63,1,10,72,40,23256.1572298148,13632.9197554087,0,0,1.12228343410662
"1852",2005,4,122000,0,2,11,1,1,1,101,2,46,1,7,71,1,10,72,40,66000,66000,0,0,1
"1853",2008,1,32925.1172518407,0,1,11,0,0,2,201,2,55,1,6,63,1,10,72,70,19206.318396907,19206.318396907,0,0,1.09339018368985
"1854",2005,4,108000,0,0,0,1,0,1,101,2,40,4,10,101,1,10,72,40,108000,108000,0,0,1
"1855",2015,3,359953.482309475,0,0,0,0,0,10,1001,2,28,6,11,114,3,30,7,5,321.100341043243,321.100341043243,0,0,1.24571652182123
"1856",2018,4,27494.0644437986,0,0,0,0,0,1,101,2,47,6,8,81,1,10,46,40,27494.0644437986,27345.04512432,0,149.019319478583,1.34210786024119
"1857",2017,4,83323.3097551698,0,0,0,0,0,3,301,2,55,4,7,71,1,10,33,25,33635.0975158484,33635.0975158484,0,0,1.30815734900926
"1858",2013,0,270253.767500546,0,2,11,2,1,1,101,2,40,1,11,114,1,10,7,5,2551.06801180457,0,0,0,1.19165776291851
"1859",2006,4,30911.8662495879,0,0,0,0,0,1,101,2,54,4,10,101,1,10,72,36,30911.8662495879,24383.6531384242,0,0,1.0293781599299
"1860",2014,3,30620.0886650901,0,0,0,2,0,1,101,2,50,4,6,63,1,10,33,10,2709.01588725998,2709.01588725998,0,0,1.21815453926251
"1861",2005,3,42000,0,1,11,1,0,2,201,2,44,1,10,101,1,10,46,35,37500,37500,0,0,1
"1862",2013,4,85595.0451329164,0,1,11,2,2,2,201,2,35,1,11,114,1,10,72,40,31888.3501475571,31888.3501475571,0,0,1.19165776291851
"1863",2017,1,5656.81185493813,0,0,0,1,0,1,101,2,55,6,10,101,1,10,46,27,5656.81185493813,5656.81185493813,0,0,1.30815734900926
"1864",2016,3,125459.962599164,0,1,11,2,1,2,201,2,41,1,11,114,1,10,72,40,54820.2083766635,54820.2083766635,0,0,1.27690138496078
"1865",2011,0,70958.2197388838,0,1,11,1,0,2,201,2,48,1,6,63,1,10,72,20,14016.43846694,14016.43846694,0,0,1.14151680098611
"1866",2013,2,29790.4323746915,0,0,0,1,1,1,101,2,29,6,6,65,1,10,72,40,29790.4323746915,23496.6790560947,0,0,1.19165776291851
